"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21, 2022","78,400","78,400","79,200","78,200","2.18M","0.00%"
"Apr 20, 2022","78,400","78,000","78,900","77,700","904.60K","0.90%"
"Apr 19, 2022","77,700","77,800","78,500","77,600","1.00M","0.00%"
"Apr 18, 2022","77,700","80,000","80,200","77,600","1.24M","-3.12%"
"Apr 15, 2022","80,200","81,200","81,500","80,200","894.80K","-0.99%"
"Apr 14, 2022","81,000","82,400","82,900","81,000","1.15M","-1.70%"
"Apr 13, 2022","82,400","83,000","83,100","82,000","850.70K","0.00%"
"Apr 12, 2022","82,400","83,000","83,200","81,600","841.30K","-0.72%"
"Apr 08, 2022","83,000","83,900","83,900","82,900","788.20K","0.00%"
"Apr 07, 2022","83,000","84,900","85,200","83,000","928.00K","-1.89%"
"Apr 06, 2022","84,600","82,900","85,000","81,700","2.01M","1.93%"
"Apr 05, 2022","83,000","82,800","83,200","82,600","526.10K","0.48%"
"Apr 04, 2022","82,600","83,200","84,100","82,600","712.00K","-0.24%"
"Apr 01, 2022","82,800","82,100","83,600","81,100","900.30K","0.85%"
"Mar 31, 2022","82,100","82,000","82,600","82,000","492.40K","0.12%"
"Mar 30, 2022","82,000","81,800","83,500","81,500","913.90K","0.12%"
"Mar 29, 2022","81,900","82,400","83,000","81,600","1.02M","-0.61%"
"Mar 28, 2022","82,400","83,000","83,000","82,000","725.40K","-0.12%"
"Mar 25, 2022","82,500","84,000","84,000","82,000","1.14M","-1.20%"
"Mar 24, 2022","83,500","84,900","84,900","83,500","570.20K","-1.65%"
"Mar 23, 2022","84,900","84,900","85,600","84,900","966.60K","0.00%"
"Mar 22, 2022","84,900","84,900","85,500","84,900","775.10K","0.00%"
"Mar 21, 2022","84,900","84,200","85,500","84,000","933.90K","0.83%"
"Mar 18, 2022","84,200","83,100","85,200","82,900","1.41M","1.45%"
"Mar 17, 2022","83,000","83,000","83,500","82,700","1.22M","0.61%"
"Mar 16, 2022","82,500","81,300","83,200","81,300","1.00M","1.73%"
"Mar 15, 2022","81,100","84,000","84,100","81,000","2.39M","-3.68%"
