"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 04, 2021","10,500","10,200","10,500","10,000","47.40K","1.94%"
"Oct 01, 2021","10,300","10,700","10,700","10,300","8.70K","0.00%"
"Sep 30, 2021","10,300","10,100","10,400","10,100","5.80K","-8.04%"
"Sep 29, 2021","11,200","11,300","11,300","11,200","5.00K","8.74%"
"Sep 28, 2021","10,300","11,000","11,000","9,700","41.50K","-0.96%"
"Sep 27, 2021","10,400","10,200","10,400","10,200","12.90K","-8.77%"
"Sep 24, 2021","11,400","11,500","11,600","10,900","19.10K","-0.87%"
"Sep 23, 2021","11,500","10,900","11,800","10,900","215.00K","6.48%"
"Sep 22, 2021","10,800","10,100","11,200","10,100","20.00K","6.93%"
"Sep 21, 2021","10,100","10,100","10,100","10,100","0.90K","-0.98%"
"Sep 20, 2021","10,200","10,200","10,300","9,800","21.00K","-1.92%"
"Sep 17, 2021","10,400","9,800","10,400","9,800","0.70K","6.12%"
"Sep 16, 2021","9,800","9,800","9,800","9,800","0.10K","-4.85%"
"Sep 15, 2021","10,300","10,000","10,300","10,000","8.90K","3.00%"
"Sep 14, 2021","10,000","10,800","10,800","9,900","8.70K","-1.96%"
"Sep 13, 2021","10,200","11,200","11,200","9,900","17.70K","0.00%"
"Sep 09, 2021","10,200","10,500","10,700","9,800","7.30K","-4.67%"
"Sep 08, 2021","10,700","10,700","10,700","10,700","0.10K","-2.73%"
"Sep 07, 2021","11,000","11,200","11,500","11,000","7.70K","7.84%"
"Sep 06, 2021","10,200","10,400","10,400","9,900","4.00K","4.08%"
"Sep 01, 2021","9,800","9,800","9,800","9,700","16.70K","-2.00%"
"Aug 31, 2021","10,000","9,800","10,000","9,600","6.70K","0.00%"
"Aug 30, 2021","10,000","10,300","10,300","10,000","0.80K","0.00%"
"Aug 27, 2021","10,000","9,600","10,000","9,600","10.10K","0.00%"
"Aug 25, 2021","10,000","10,100","10,100","10,000","0.20K","2.04%"
"Aug 24, 2021","9,800","10,000","10,000","9,800","3.20K","-3.92%"
"Aug 23, 2021","10,200","9,700","10,200","9,700","21.00K","2.00%"
"Aug 20, 2021","10,000","10,000","10,000","10,000","1.50K","0.00%"
"Aug 19, 2021","10,000","9,900","10,000","9,900","4.20K","-1.96%"
"Aug 18, 2021","10,200","10,000","10,200","9,800","1.20K","2.00%"
"Aug 17, 2021","10,000","10,000","10,000","10,000","2.60K","0.00%"
"Aug 16, 2021","10,000","10,400","10,400","9,700","6.90K","-4.76%"
"Aug 13, 2021","10,500","9,900","10,500","9,900","0.20K","0.96%"
"Aug 12, 2021","10,400","10,000","10,800","10,000","4.10K","0.00%"
"Aug 09, 2021","10,400","10,500","10,500","10,400","3.70K","-0.95%"
"Aug 05, 2021","10,500","10,500","10,500","10,500","0.10K","5.00%"
"Aug 04, 2021","10,000","9,500","10,000","9,500","1.30K","1.01%"
"Aug 03, 2021","9,900","9,900","9,900","9,000","0.90K","0.00%"
"Aug 02, 2021","9,900","9,900","9,900","9,900","0.10K","0.00%"
"Jul 30, 2021","9,900","9,900","9,900","9,700","2.20K","0.00%"
"Jul 29, 2021","9,900","9,900","9,900","9,900","0.70K","0.00%"
"Jul 27, 2021","9,900","9,900","9,900","9,800","3.60K","0.00%"
"Jul 26, 2021","9,900","9,900","9,900","9,700","1.00K","1.02%"
"Jul 23, 2021","9,800","10,100","10,100","9,800","0.40K","-1.01%"
"Jul 22, 2021","9,900","9,900","9,900","9,900","0.60K","-1.98%"
"Jul 21, 2021","10,100","9,700","10,100","9,700","0.20K","6.32%"
"Jul 20, 2021","9,500","10,800","10,800","9,500","1.10K","0.00%"
"Jul 19, 2021","9,500","9,500","9,500","9,500","0.70K","-9.52%"
"Jul 16, 2021","10,500","9,000","10,500","9,000","0.80K","9.38%"
"Jul 13, 2021","9,600","10,000","10,000","9,500","10.20K","-4.00%"
"Jul 12, 2021","10,000","10,000","10,000","10,000","0.90K","-0.99%"
"Jul 09, 2021","10,100","10,100","10,100","10,100","0.10K","-1.94%"
"Jul 08, 2021","10,300","10,200","10,300","10,200","10.60K","0.98%"
"Jul 07, 2021","10,200","10,200","10,400","10,200","8.30K","-3.77%"
"Jul 06, 2021","10,600","10,500","10,600","10,300","26.20K","0.95%"
"Jul 05, 2021","10,500","10,600","10,600","10,500","1.20K","-2.78%"
"Jul 02, 2021","10,800","10,600","10,900","10,600","6.10K","1.89%"
"Jul 01, 2021","10,600","10,700","10,700","10,400","7.60K","-1.85%"
"Jun 30, 2021","10,800","10,800","11,200","10,800","19.60K","0.93%"
"Jun 29, 2021","10,700","10,600","11,200","10,500","18.30K","-5.31%"
"Jun 28, 2021","11,300","11,000","11,500","10,900","104.90K","8.65%"
"Jun 25, 2021","10,400","11,000","11,000","10,200","13.90K","-0.95%"
"Jun 24, 2021","10,500","10,600","11,200","10,300","29.30K","-3.67%"
"Jun 23, 2021","10,900","11,700","11,700","10,600","28.00K","-5.22%"
"Jun 22, 2021","11,500","12,000","12,000","11,300","39.60K","1.77%"
"Jun 21, 2021","11,300","10,300","11,600","10,100","92.90K","9.71%"
"Jun 18, 2021","10,300","10,200","10,300","10,100","174.70K","0.98%"
"Jun 17, 2021","10,200","10,200","10,200","10,000","12.90K","0.00%"
"Jun 16, 2021","10,200","10,300","10,300","10,200","18.30K","-0.97%"
"Jun 15, 2021","10,300","10,300","10,300","10,300","10.50K","0.00%"
"Jun 14, 2021","10,300","10,300","10,300","10,300","1.70K","0.00%"
"Jun 11, 2021","10,300","9,500","10,500","9,500","5.30K","1.98%"
"Jun 10, 2021","10,100","10,200","10,200","10,000","19.30K","-2.88%"
"Jun 09, 2021","10,400","10,500","10,500","10,100","6.10K","0.97%"
"Jun 08, 2021","10,300","10,300","10,300","10,300","0.40K","-0.96%"
"Jun 07, 2021","10,400","10,500","10,500","10,400","1.30K","0.00%"
"Jun 04, 2021","10,400","11,000","11,000","10,400","2.10K","-0.95%"
