"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 10, 2022","136,300","137,000","137,200","134,500","902.70K","-0.51%"
"Feb 09, 2022","137,000","136,300","137,500","136,000","1.21M","0.51%"
"Feb 08, 2022","136,300","133,900","136,800","133,900","1.45M","1.79%"
"Feb 07, 2022","133,900","133,000","135,700","133,000","932.40K","1.06%"
"Jan 28, 2022","132,500","131,300","132,500","129,700","716.30K","0.76%"
"Jan 27, 2022","131,500","130,900","132,300","129,200","530.60K","-0.30%"
"Jan 26, 2022","131,900","131,000","131,900","129,000","954.30K","0.69%"
"Jan 25, 2022","131,000","129,800","131,000","127,600","802.50K","0.85%"
"Jan 24, 2022","129,900","132,200","133,200","129,900","867.60K","-2.48%"
"Jan 21, 2022","133,200","134,000","134,000","131,300","655.10K","-0.60%"
"Jan 20, 2022","134,000","133,000","134,000","132,100","896.90K","0.37%"
"Jan 19, 2022","133,500","130,200","134,000","130,000","954.80K","2.61%"
"Jan 18, 2022","130,100","129,000","132,000","128,600","816.20K","0.08%"
"Jan 17, 2022","130,000","133,000","133,900","130,000","817.40K","-2.99%"
"Jan 14, 2022","134,000","135,000","135,000","133,200","468.40K","-1.11%"
"Jan 13, 2022","135,500","136,500","136,500","132,000","925.00K","-0.37%"
"Jan 12, 2022","136,000","131,800","136,000","130,000","928.60K","3.19%"
"Jan 11, 2022","131,800","133,000","134,500","131,700","773.40K","-0.90%"
"Jan 10, 2022","133,000","135,500","135,500","133,000","927.00K","-1.85%"
"Jan 07, 2022","135,500","137,500","137,500","135,500","921.20K","-1.45%"
"Jan 06, 2022","137,500","137,100","138,800","136,500","771.10K","0.29%"
"Jan 05, 2022","137,100","137,800","139,300","137,100","1.18M","-0.51%"
"Jan 04, 2022","137,800","135,900","139,200","134,900","1.33M","1.40%"
"Dec 31, 2021","135,900","134,300","135,900","133,400","1.13M","1.19%"
"Dec 30, 2021","134,300","134,500","135,400","134,000","832.70K","-0.07%"
"Dec 29, 2021","134,400","134,600","136,000","134,100","637.00K","-1.03%"
"Dec 28, 2021","135,800","135,500","135,800","133,100","745.00K","0.67%"
"Dec 27, 2021","134,900","134,700","135,400","133,000","723.10K","0.22%"
"Dec 24, 2021","134,600","133,600","134,600","132,500","560.90K","0.75%"
"Dec 23, 2021","133,600","134,800","135,800","131,800","933.20K","-0.89%"
"Dec 22, 2021","134,800","133,600","137,000","133,400","1.30M","1.35%"
"Dec 21, 2021","133,000","133,000","133,000","132,100","473.60K","0.00%"
"Dec 20, 2021","133,000","133,500","134,600","132,500","792.90K","-1.12%"
"Dec 17, 2021","134,500","133,600","135,000","133,100","735.10K","0.67%"
"Dec 16, 2021","133,600","136,000","136,000","133,600","809.50K","-1.69%"
"Dec 15, 2021","135,900","135,400","136,000","134,000","601.10K","0.37%"
"Dec 14, 2021","135,400","134,700","136,000","133,500","664.80K","0.37%"
"Dec 13, 2021","134,900","134,400","134,900","134,000","645.90K","0.60%"
"Dec 10, 2021","134,100","133,100","134,900","133,000","707.10K","0.07%"
"Dec 09, 2021","134,000","133,900","135,000","133,500","692.30K","0.07%"
"Dec 08, 2021","133,900","133,600","135,000","133,000","688.70K","0.30%"
"Dec 07, 2021","133,500","131,400","133,500","131,400","663.60K","1.60%"
"Dec 06, 2021","131,400","133,500","133,500","126,900","1.67M","-1.57%"
"Dec 03, 2021","133,500","136,300","137,000","133,500","1.05M","-2.55%"
"Dec 02, 2021","137,000","138,800","138,800","136,800","615.90K","-1.37%"
"Dec 01, 2021","138,900","136,500","140,000","136,100","1.50M","0.00%"
"Nov 30, 2021","138,900","138,500","139,900","136,900","1.09M","1.02%"
"Nov 29, 2021","137,500","138,900","140,700","137,400","2.37M","-2.83%"
"Nov 26, 2021","141,500","144,800","145,500","141,500","1.26M","-2.41%"
"Nov 25, 2021","145,000","144,100","145,000","142,500","845.70K","0.69%"
"Nov 24, 2021","144,000","143,000","144,000","141,300","1.49M","0.70%"
"Nov 23, 2021","143,000","138,600","144,000","138,100","1.93M","3.17%"
"Nov 22, 2021","138,600","140,000","140,400","138,000","1.12M","-0.29%"
"Nov 19, 2021","139,000","140,000","141,000","136,000","1.38M","0.00%"
"Nov 18, 2021","139,000","138,300","141,500","136,800","2.13M","0.80%"
"Nov 17, 2021","137,900","137,700","138,000","136,200","862.20K","0.00%"
"Nov 16, 2021","137,900","138,000","139,000","136,000","1.49M","-1.08%"
"Nov 15, 2021","139,400","136,300","139,900","136,300","2.63M","2.50%"
"Nov 12, 2021","136,000","136,000","136,000","133,900","1.18M","0.74%"
"Nov 11, 2021","135,000","131,500","136,000","130,500","4.44M","2.66%"
"Nov 10, 2021","131,500","130,000","131,500","129,500","765.40K","1.15%"
"Nov 09, 2021","130,000","131,800","132,000","130,000","1.05M","-1.22%"
"Nov 08, 2021","131,600","132,000","133,000","131,600","1.13M","-0.30%"
"Nov 05, 2021","132,000","133,000","133,000","131,000","1.64M","1.62%"
"Nov 04, 2021","129,900","128,500","130,600","128,000","950.10K","0.85%"
"Nov 03, 2021","128,800","128,900","130,000","127,500","1.41M","-0.08%"
"Nov 02, 2021","128,900","128,500","129,900","128,500","866.80K","-0.85%"
"Nov 01, 2021","130,000","131,500","131,800","129,000","1.14M","-1.07%"
"Oct 29, 2021","131,400","131,500","131,900","130,900","1.34M","-0.45%"
"Oct 28, 2021","132,000","131,300","132,500","128,500","1.19M","0.00%"
"Oct 27, 2021","132,000","128,000","132,900","128,000","2.06M","3.13%"
"Oct 26, 2021","128,000","128,000","128,000","126,900","992.90K","-0.31%"
"Oct 25, 2021","128,400","128,000","129,800","128,000","926.20K","0.63%"
"Oct 22, 2021","127,600","128,300","128,400","127,100","925.70K","0.47%"
"Oct 21, 2021","127,000","129,200","130,000","127,000","1.47M","-1.70%"
"Oct 20, 2021","129,200","129,900","131,000","128,000","1.33M","-0.39%"
"Oct 19, 2021","129,700","129,900","131,000","129,100","1.15M","-0.77%"
"Oct 18, 2021","130,700","132,200","132,900","130,700","1.47M","-1.28%"
"Oct 15, 2021","132,400","133,500","133,700","132,000","827.40K","-0.82%"
"Oct 14, 2021","133,500","134,000","134,800","132,000","1.93M","-0.30%"
"Oct 13, 2021","133,900","132,300","134,200","132,100","1.89M","1.36%"
"Oct 12, 2021","132,100","129,500","132,800","129,500","2.28M","2.01%"
"Oct 11, 2021","129,500","128,900","129,700","127,500","1.75M","0.54%"
"Oct 08, 2021","128,800","127,500","129,500","127,300","1.50M","0.63%"
"Oct 07, 2021","128,000","127,300","128,300","127,300","966.00K","-0.23%"
"Oct 06, 2021","128,300","126,700","130,000","126,400","1.69M","1.18%"
"Oct 05, 2021","126,800","126,000","126,800","125,100","939.30K","0.48%"
"Oct 04, 2021","126,200","125,000","126,200","123,300","2.19M","0.00%"
"Oct 01, 2021","126,200","127,000","127,800","126,000","1.09M","-1.25%"
"Sep 30, 2021","127,800","127,800","129,000","126,700","1.04M","0.00%"
"Sep 29, 2021","127,800","126,800","128,500","126,800","1.21M","0.87%"
"Sep 28, 2021","126,700","124,600","127,000","123,900","1.34M","0.56%"
"Sep 27, 2021","126,000","129,000","129,000","126,000","3.74M","-3.45%"
"Sep 24, 2021","130,500","132,200","134,000","130,100","1.32M","-1.14%"
"Sep 23, 2021","132,000","126,500","133,400","126,500","2.59M","5.01%"
"Sep 22, 2021","125,700","124,000","126,400","123,900","1.29M","1.53%"
"Sep 21, 2021","123,800","121,100","125,500","121,100","1.33M","0.65%"
"Sep 20, 2021","123,000","124,900","127,000","121,400","1.37M","0.00%"
"Sep 17, 2021","123,000","123,600","124,000","122,200","919.20K","-0.49%"
"Sep 16, 2021","123,600","124,500","124,500","122,800","778.30K","-0.80%"
"Sep 15, 2021","124,600","123,500","125,000","122,800","728.80K","0.08%"
"Sep 14, 2021","124,500","124,000","124,800","122,100","1.07M","-0.40%"
"Sep 13, 2021","125,000","118,900","125,000","118,800","2.27M","5.13%"
"Sep 10, 2021","118,900","119,000","119,300","117,100","922.10K","0.00%"
"Sep 09, 2021","118,900","111,800","118,900","111,400","2.54M","6.73%"
"Sep 08, 2021","111,400","110,300","111,400","110,000","684.80K","1.00%"
"Sep 07, 2021","110,300","111,400","111,500","110,000","894.00K","-0.63%"
"Sep 06, 2021","111,000","111,000","111,100","110,500","1.12M","0.73%"
"Sep 01, 2021","110,200","110,300","111,000","108,900","670.40K","-0.72%"
"Aug 31, 2021","111,000","111,000","111,000","110,000","629.10K","0.36%"
"Aug 30, 2021","110,600","111,100","112,300","110,600","1.27M","1.06%"
"Aug 27, 2021","109,445","107,914","109,711","107,914","2.00M","1.54%"
"Aug 26, 2021","107,781","109,045","109,378","107,515","924.30K","0.31%"
"Aug 25, 2021","107,449","107,116","109,112","106,517","900.15K","0.62%"
"Aug 24, 2021","106,783","105,652","108,047","105,187","1.59M","1.52%"
"Aug 23, 2021","105,187","108,447","109,112","105,120","2.43M","-3.60%"
"Aug 20, 2021","109,112","114,434","114,434","109,112","3.06M","-4.93%"
"Aug 19, 2021","114,767","114,767","114,767","112,771","1.18M","0.00%"
"Aug 18, 2021","114,767","112,439","115,432","112,172","1.30M","1.53%"
"Aug 17, 2021","113,037","113,037","113,170","111,707","1.66M","-0.12%"
"Aug 16, 2021","113,170","114,102","114,434","111,773","1.54M","-0.53%"
"Aug 13, 2021","113,769","112,771","113,769","111,374","1.68M","0.59%"
"Aug 12, 2021","113,104","115,432","116,430","113,104","1.76M","-2.86%"
"Aug 11, 2021","116,430","115,765","119,291","114,834","2.51M","0.63%"
"Aug 10, 2021","115,699","115,765","115,898","114,168","1.32M","0.06%"
"Aug 09, 2021","115,632","113,769","115,898","112,771","957.00K","1.34%"
"Aug 06, 2021","114,102","115,100","116,763","114,102","1.55M","-0.87%"
"Aug 05, 2021","115,100","112,838","115,965","112,439","1.48M","1.76%"
"Aug 04, 2021","113,104","113,170","113,703","112,106","1.24M","0.06%"
"Aug 03, 2021","113,037","113,037","113,104","111,773","1.30M","0.00%"
"Aug 02, 2021","113,037","109,112","114,767","108,779","2.45M","3.53%"
"Jul 30, 2021","109,178","107,449","109,711","106,118","2.67M","0.80%"
"Jul 29, 2021","108,314","106,318","108,314","103,789","1.98M","3.63%"
"Jul 28, 2021","104,521","104,987","106,783","103,856","683.55K","-0.57%"
"Jul 27, 2021","105,120","107,781","107,781","104,455","2.22M","-1.43%"
"Jul 26, 2021","106,650","106,717","107,116","105,053","1.71M","-0.87%"
